Sample Index,reversible,reversible binary,wavelength nm,intensity mW/cm^2,temperature K,L/W,L/T,Z ratio,Z' ratio,Ratio of symmetry,density ratio,ref a,ref b,ref c,ref alpha,ref beta,ref gamma,tr a,tr b,tr c ,tr alpha,tr beta,tr gamma,Stretch 11,Stretch 12,Stretch 13,Stretch 22,Stretch 23,Stretch 33,Det U,Abs(DetU-1),Abs(lamda2-1),lambda 1,lambda 2,lambda 3
1,Yes,1,367,100,298,1.49,4.62,2,2,1,1.021,7.381,11.755,15.94,102.912,92.025,100.595,6.0552,7.0297,15.969,96.315,93.979,90.279,0.951625,0.0178815,-0.0341234,1.03061,-0.0412517,1.02429,1.00148,0.00148,0.010853,1.07929,0.989147,0.938085
2,No,0,367,400,298,1.49,4.62,2,2,1,1.021,7.381,11.755,15.94,102.912,92.025,100.595,6.0552,7.0297,15.969,96.315,93.979,90.279,0.951625,0.0178815,-0.0341234,1.03061,-0.0412517,1.02429,1.00148,0.00148,0.010853,1.07929,0.989147,0.938085
3,yes,1,365,80,298,1.604,2.73,1,2,1/2,1.005,6.1748,9.9126,19.602,84.484,86.208,88.252,6.1899,9.8715,19.7418,90,96.946,90,1.00192,0.0146643,-0.0289212,0.995543,-0.0475722,1.01102,1.00517,0.00517,0.012002,1.0669,0.987998,0.953584
4,yes,1,365,60,298,4.33,113,1,2,1/2,1.005,6.1748,9.9126,19.602,84.484,86.208,88.252,6.1899,9.8715,19.7418,90,96.946,90,1.00192,0.0146643,-0.0289212,0.995543,-0.0475722,1.01102,1.00517,0.00517,0.012002,1.0669,0.987998,0.953584
5,yes,1,365,70,287,40,36.8,1,1,1,1.004,11.956,20.612,19.666,90,102.907,90,11.998,20.76,19.742,90.03,103.07,89.95,1.00351,0.00043854,-0.00146795,1.00718,-0.000169297,1.00321,1.01396,0.01396,0.00476,1.00726,1.00476,1.00188
6,yes,1,365,30,295,6.2,155,1,1,1,1.002,37.113,8.4961,7.3282,90,95.987,90,37.055,8.5204,7.3284,90,95.687,90,0.998434,0,0.00253269,1.00286,0,1.00057,1.00186,0.00186,0.00225,1.00286,1.00225,0.996754
7,no,0,375,0.1,200,4.16,14.24,1,1,1,1.038,25.123,12.224,15.519,90,109.127,90,25.74,12.34,15.8,90,111.4,90,1.02456,0,-0.0191269,1.00949,0,1.00383,1.0377,0.0377,0.00949,1.03582,1.00949,0.992396
8,yes,1,365,50,298,4.1,35.4,,,1,0.9325,6.0803,9.6333,35.4535,90,90,90,5.8555,9.3134,35.5093,90,90,90,0.963028,0,0,0.966792,0,1.00157,0.932514,0.067486,0.033208,1.00157,0.966792,0.963028
9,no,0,360,,,7.53,7.53,1,1,1,1.023,8.2784,20.232,12.0975,90,105.577,90,8.3685,20.237,12.2536,90,105.853,90,1.01088,0,-0.00271863,1.00025,0,1.01154,1.02279,0.02279,0.00847,1.01395,1.00847,1.00025
10,no,0,360,,,3.88,3.88,1,1,1,1.013,8.2784,20.232,12.0975,90,105.577,90,8.3337,20.211,12.1983,90,105.716,90,1.00668,0,-0.00208995,0.998962,0,1.01222,1.01792,0.01792,0.00598,1.01292,1.00598,0.998962
11,yes,1,375,100,,4.57,10.66,1,1,1,1.002,11.3942,14.1661,20.2619,90,101.272,90,11.4621,14.1632,20.1742,90,101.15,90,1.00596,0,0.00209575,0.999795,0,0.996099,1.00182,0.00182,0.000205,1.00638,0.999795,0.995671
12,no,0,375,100,,1.75,3.5,2,1,2,1.002,11.3942,14.1661,20.2619,90,101.272,90,11.8114,15.4717,17.8972,89.422,81.88,82.902,1.03366,0.0657176,-0.0424309,1.09016,-0.00764578,0.894126,1.00171,0.00171,0.000881,1.13718,0.999119,0.881647
13,no,0,313,,,,,1,1,1,1.003,13.4228,25.2733`,15.088,90,98.461,90,13.7515,25.4136,14.9227,90,98.8789,90,1.02449,0,-0.00098628,1.00555,0,0.987946,1.01776,0.01776,0.00555,1.02451,1.00555,0.98792
14,No,0,515,,253,1.32,1.56,1,1,1,1.02,10.443,13.9757,11.241,90,102.916,90,10.351,13.886,11.185,90,102.99,90,0.99119,0,-0.00107946,0.993582,0,0.994724,0.979631,0.020369,0.006418,0.995028,0.993582,0.990886
15,Yes,1,365,60,,3.73,42.32,1,2,0.5,1.01,6.2297,34.95,9.9197,90,92.336,90,6.2848,35.118,9.887,90,90,90,1.00863,0,0.0206888,1.00484,0,0.998167,1.01122,0.01122,0.00484,1.02474,1.00484,0.982059
16,Yes,1,365,,173,52,100,1,1,1,0.99,14.704,14.0747,24.1065,90,90,90,14.7377,14.0573,24.1282,90,90,90,1.00229,0,0,0.998764,0,1.0009,1.00195,0.00195,0.0009,1.00229,1.0009,0.998764
17,Yes,1,365,50,293,7.78,170,1,1,1,1,10.9014,6.2376,15.0904,90,108.967,90,10.9003,6.2379,15.1009,90,108.982,90,0.999899,0,-0.000267798,1.00005,0,1.00061,1.00055,0.00055,0.00005,1.0007,1.00005,0.999809
